filename,pesq,stoi
noisy_000_storytell_002_chunk25.wav,4.417,0.982
noisy_001_002_chunk02.wav,4.522,0.996
noisy_002_storytell_001_chunk07.wav,4.424,0.990
noisy_003_010_chunk03.wav,4.536,0.999
noisy_004_storytell_003_chunk02.wav,4.431,0.985
noisy_005_storytell_002_chunk30.wav,4.437,0.979
noisy_006_storytell_002_chunk13.wav,4.430,0.976
noisy_007_storytell_002_chunk19.wav,4.341,0.987
noisy_008_002_chunk03.wav,4.519,0.998
noisy_009_005_chunk01.wav,4.531,0.995
noisy_010_storytell_001_chunk01.wav,nan,0.985
noisy_011_storytell_002_chunk21.wav,4.310,0.986
noisy_012_storytell_002_chunk15.wav,4.457,0.982
noisy_013_storytell_002_chunk35.wav,4.431,0.986
noisy_014_storytell_002_chunk33.wav,4.378,0.976
noisy_015_storytell_001_chunk25.wav,nan,0.985
noisy_016_storytell_002_chunk01.wav,4.470,0.991
noisy_017_storytell_001_chunk07.wav,4.459,0.987
noisy_018_storytell_003_chunk19.wav,4.428,0.989
noisy_019_storytell_003_chunk05.wav,nan,0.987
noisy_020_008_chunk01.wav,4.512,0.995
noisy_021_storytell_001_chunk26.wav,4.436,0.987
noisy_022_storytell_001_chunk07.wav,4.242,0.988
noisy_023_010_chunk02.wav,4.519,0.995
noisy_024_storytell_001_chunk15.wav,4.445,0.985
noisy_025_005_chunk01.wav,4.514,0.995
noisy_026_005_chunk02.wav,4.523,0.995
noisy_027_storytell_003_chunk16.wav,4.443,0.987
noisy_028_storytell_002_chunk21.wav,4.395,0.984
noisy_029_storytell_003_chunk11.wav,4.459,0.990
noisy_030_storytell_003_chunk01.wav,4.367,0.981
noisy_031_storytell_002_chunk12.wav,4.446,0.983
noisy_032_storytell_001_chunk20.wav,4.373,0.989
noisy_033_storytell_002_chunk14.wav,4.459,0.982
noisy_034_storytell_003_chunk14.wav,4.368,0.986
noisy_035_storytell_002_chunk23.wav,4.340,0.981
noisy_036_storytell_001_chunk18.wav,4.380,0.988
noisy_037_009_chunk02.wav,4.507,0.995
noisy_038_004_chunk01.wav,4.529,0.996
noisy_039_storytell_002_chunk28.wav,4.413,0.976
noisy_040_storytell_003_chunk06.wav,4.070,0.981
noisy_041_004_chunk03.wav,nan,0.999
noisy_042_storytell_001_chunk01.wav,4.446,0.991
noisy_043_005_chunk02.wav,4.515,0.996
noisy_044_storytell_001_chunk07.wav,4.433,0.987
noisy_045_storytell_002_chunk25.wav,4.435,0.987
noisy_046_storytell_001_chunk18.wav,4.338,0.989
